Genotype,Yield - 2021 LA1,Plant Height - 2021 LA1,Yield - 2021 LA2,Plant Height - 2021 LA2,Yield - 2022 LA1,Plant Height - 2022 LA1,Yield - 2022 LA2,Plant Height - 2022 LA2,Yield - 2021 AR,Plant Height - 2021 AR,Yield - 2022 AR,Plant Height - 2022 AR,Mean Yield - Across LA & AR,Mean Plant Height - Across LA & AR
MP8_347,8643.99343,85.927785,8453.175817,96.03256986,10496.24748,97.11083694,9476.666668,87.88309324,10862.53702,95.99164529,9840.117328,100.401198,9661.303464,94.02182662
MP8_093,9664.11086,95.08654138,8579.568485,94.58682721,10161.96926,93.72660911,8775.608696,86.66332445,10514.90882,90.99851564,8659.631489,94.00910345,9425.13959,92.69657529
MP8_074,8484.526969,96.90635775,,,9764.991502,101.4696182,8961.848619,92.8549727,,,9012.883017,105.2632391,9230.276038,99.74234684
MP8_079,9317.448454,92.03369216,8335.747729,102.3639076,10016.87436,97.37748179,8841.674095,88.94577799,9832.809258,93.43124844,8734.358251,96.02626478,9212.322671,95.17454545
MP8_120,8016.619961,89.10967138,7424.828526,87.27510351,8286.787022,89.31901626,7109.673345,81.39889558,9669.129961,83.69128207,8135.136617,87.82350101,8139.534625,86.55852502
MP6_074,7826.816286,96.04464443,7912.900757,89.82572009,,,,,9382.29363,89.79179436,,,8170.337634,91.03100525
MP8_385,8990.615588,98.34038264,7933.790802,97.86509402,9500.250295,95.70393686,8705.281505,90.35019616,9846.935566,92.51851559,9628.732281,95.04988944,9133.439151,95.12006303
MP6_272,8317.862915,93.11254647,8560.231488,98.10752264,,,,,9606.339285,97.34143602,,,8624.476304,95.33064167
MP6_339,9300.217897,92.79187877,8243.736414,96.29809266,9281.273287,90.94805193,8447.601463,87.76217991,10518.86646,94.58589237,9299.650382,95.05358133,9214.395956,93.05624314
MP6_391,9499.344874,104.7615285,7855.696674,109.7742763,,,,,9713.17274,104.959858,,,8819.07486,105.6421496
MP8_017,8822.103906,92.0813353,7952.896672,93.10535061,8625.734678,95.89623227,7713.643319,89.87742615,9629.507285,95.78670822,8269.953709,96.86784899,8534.812509,94.07729905
MP8_145,8719.709533,96.17310635,6857.765872,95.28479082,8814.777312,96.79172624,7375.962147,89.28117263,,,8830.684035,98.98718458,8293.992129,96.0920903
MP8_208,9149.003042,101.8684401,8083.895356,102.0702347,,,,,10071.5986,107.3211246,,,8897.838705,102.8968078
MP8_218,8665.769347,96.66619731,8020.735329,107.3615477,,,,,9594.913048,101.8101852,,,8556.803177,101.0895138
MP8_397,7321.393316,91.11774752,6998.065538,98.74347754,,,,,8481.718007,91.18706694,,,7396.743124,92.82628747
MP8_172,9055.808611,92.07145825,8438.099635,95.45102085,7089.932603,92.89082366,8110.825498,85.80337939,10940.15944,97.2546905,8509.434068,97.02072475,8723.222207,93.5388013
MP8_068,8096.418883,99.16513506,7500.663781,102.3383878,,,,,,,,,7831.047557,100.8884589
MP6_210,9219.81103,90.07445268,8363.362636,89.77421964,8971.988719,91.26968639,7819.924757,83.59373375,9694.569325,89.65091003,9420.6546,89.3847453,8947.557604,89.11941662
